epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.729,1.56394,2.94333,1.33475,0.00616,0.59871,0.18962,0.09849,1.55169,3.2798,1.17129,0.00048,0.00048,0.00048
2,71.7486,1.5326,2.13936,1.34376,0.3908,0.05232,0.04934,0.02119,1.82642,3.35067,1.57983,0.000970298,0.000970298,0.000970298
3,100.767,1.61307,2.10744,1.39608,0.09416,0.0279,0.01293,0.00623,2.02426,3.47473,1.70144,0.0014507,0.0014507,0.0014507
4,129.971,1.68819,2.03493,1.43811,0.03255,0.14163,0.01201,0.00501,2.13504,6.85122,2.01345,0.00192119,0.00192119,0.00192119
5,158.589,1.70464,2.00068,1.46838,0.16665,0.17811,0.06496,0.03072,1.92522,9.29539,1.81216,0.0019208,0.0019208,0.0019208
6,187.596,1.72426,1.89572,1.44782,0.08178,0.07511,0.02124,0.01135,nan,nan,nan,0.001901,0.001901,0.001901
7,216.757,1.67406,1.83373,1.4378,0.08472,0.1867,0.04967,0.02314,1.95346,13.7649,1.67493,0.0018812,0.0018812,0.0018812
8,245.635,1.66653,1.81443,1.44545,0.35571,0.25966,0.20202,0.10718,1.81159,5.65142,1.54455,0.0018614,0.0018614,0.0018614
9,277.038,1.64855,1.7644,1.41337,0.48643,0.36481,0.33306,0.1772,1.74543,1.89811,1.43385,0.0018416,0.0018416,0.0018416
10,307.673,1.60901,1.71673,1.39704,0.49182,0.34549,0.32615,0.17138,1.70793,6.09738,1.42724,0.0018218,0.0018218,0.0018218
11,334.207,1.61093,1.69025,1.39588,0.6264,0.34335,0.36936,0.18321,1.8955,2.15614,1.4515,0.001802,0.001802,0.001802
12,364.721,1.5914,1.69791,1.38591,0.7079,0.34764,0.39193,0.19608,1.80516,2.03732,1.46455,0.0017822,0.0017822,0.0017822
