epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7812,1.5954,3.40558,1.38963,0.01113,0.28541,0.00578,0.0023,2.46383,inf,1.97944,0.000650794,0.000650794,0.000650794
2,71.2122,1.64134,1.93036,1.44329,0.00702,0.1824,0.00381,0.00168,2.49617,inf,2.34595,0.00130442,0.00130442,0.00130442
3,106.836,1.75144,1.98571,1.51562,0.02195,0.3412,0.0133,0.0055,2.4697,inf,2.47323,0.00194484,0.00194484,0.00194484
4,140.335,1.7454,1.91901,1.50884,0.4516,0.25093,0.2321,0.12396,2.07558,6.53184,1.67793,0.0019406,0.0019406,0.0019406
5,174.323,1.71288,1.8328,1.46826,0.40494,0.32833,0.27419,0.13331,2.25374,3.26243,1.81075,0.0019208,0.0019208,0.0019208
6,209.638,1.68422,1.79631,1.45134,0.5262,0.33262,0.33472,0.16974,2.17184,2.83579,1.63488,0.001901,0.001901,0.001901
7,242.57,1.64796,1.76772,1.45041,0.49576,0.32833,0.33179,0.18786,1.92764,3.34196,1.47805,0.0018812,0.0018812,0.0018812
8,278.093,1.64743,1.76561,1.44304,0.47732,0.35274,0.35347,0.19533,1.97577,2.24491,1.48203,0.0018614,0.0018614,0.0018614
9,313.141,1.57853,1.67185,1.40994,0.48855,0.35193,0.34491,0.18799,1.97857,2.22117,1.54824,0.0018416,0.0018416,0.0018416
10,346.73,1.57968,1.67882,1.40448,0.55072,0.35193,0.34544,0.18988,2.00487,2.809,1.61862,0.0018218,0.0018218,0.0018218
11,380.772,1.53738,1.59993,1.37552,0.44319,0.39485,0.37073,0.19213,2.0488,1.83677,1.52017,0.001802,0.001802,0.001802
12,414.717,1.52805,1.60708,1.37855,0.53524,0.397,0.39354,0.23213,1.98544,1.9682,1.50503,0.0017822,0.0017822,0.0017822
