epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9245,1.50084,2.37445,1.47702,0.52429,0.32833,0.30265,0.15846,1.81201,1.87196,1.65231,0.000653333,0.000653333,0.000653333
2,77.0239,1.6312,1.85314,1.58979,0.1113,0.17382,0.05905,0.02824,2.04051,11.6503,2.33174,0.00130693,0.00130693,0.00130693
3,113.338,1.71535,1.98347,1.64221,0.42456,0.25107,0.18095,0.08062,2.08133,7.16784,2.12501,0.00194733,0.00194733,0.00194733
4,149.677,1.70146,1.89476,1.63378,0.36298,0.23232,0.20658,0.11179,2.0363,3.579,1.85441,0.0019406,0.0019406,0.0019406
5,186.461,1.7091,1.86151,1.646,0.43579,0.2382,0.22528,0.11806,1.96763,4.09384,1.86578,0.0019208,0.0019208,0.0019208
6,225.354,1.68516,1.83192,1.6406,0.2912,0.22128,0.16367,0.08145,2.01787,4.11728,1.93731,0.001901,0.001901,0.001901
7,262.157,1.63683,1.79127,1.61073,0.43716,0.34549,0.30664,0.16762,1.77989,2.67204,1.65912,0.0018812,0.0018812,0.0018812
8,300.085,1.63718,1.74397,1.58201,0.48509,0.28755,0.26002,0.11845,2.11231,2.52846,1.85701,0.0018614,0.0018614,0.0018614
9,337.371,1.65415,1.74828,1.59316,0.54796,0.33691,0.32185,0.17652,1.77318,2.34438,1.62113,0.0018416,0.0018416,0.0018416
10,373.969,1.58048,1.68083,1.54721,0.51932,0.31974,0.3081,0.18463,1.63582,2.08261,1.56188,0.0018218,0.0018218,0.0018218
11,411.21,1.58113,1.64002,1.56003,0.59386,0.36266,0.39248,0.22341,1.72041,2.23745,1.57513,0.001802,0.001802,0.001802
12,448.153,1.55282,1.63659,1.54527,0.65198,0.39914,0.43564,0.24425,1.68382,1.47512,1.51093,0.0017822,0.0017822,0.0017822
13,485.936,1.53824,1.56092,1.51822,0.61252,0.37339,0.40245,0.2199,1.69235,1.64917,1.53697,0.0017624,0.0017624,0.0017624
14,522.223,1.53607,1.56763,1.51991,0.5519,0.37531,0.40053,0.22694,1.6565,1.5787,1.54355,0.0017426,0.0017426,0.0017426
15,558.512,1.54366,1.5934,1.51534,0.62533,0.36695,0.41287,0.25695,1.46141,1.66114,1.40942,0.0017228,0.0017228,0.0017228
16,595.867,1.54456,1.61405,1.50779,0.52599,0.41202,0.4061,0.23696,1.64287,1.65835,1.50221,0.001703,0.001703,0.001703
17,632.354,1.45778,1.4823,1.47865,0.63921,0.38627,0.43723,0.24061,1.68467,1.60813,1.51738,0.0016832,0.0016832,0.0016832
