epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9537,1.53588,2.83464,1.41709,0.0066,0.64163,0.11514,0.05328,1.50475,3.23877,1.18791,0.00046,0.00046,0.00046
2,77.1542,1.51943,2.06178,1.36881,0.38724,0.04292,0.05328,0.02431,1.72304,3.21596,1.50691,0.000930694,0.000930694,0.000930694
3,108.644,1.58761,1.9747,1.47369,0.00161,0.15665,0.00103,0.00038,2.94465,4.26854,2.90469,0.00139188,0.00139188,0.00139188
4,138.583,1.61787,1.9351,1.48228,0.00644,0.25751,0.00404,0.00228,1.86625,29.099,1.95963,0.00184357,0.00184357,0.00184357
5,168.424,1.68879,1.878,1.51182,0.19841,0.15451,0.11018,0.05439,2.09277,18.2531,2.2334,0.0019208,0.0019208,0.0019208
6,199.517,1.67429,1.87704,1.5306,0.20209,0.18455,0.11597,0.06168,2.04257,13.5849,2.07426,0.001901,0.001901,0.001901
7,228.456,1.6812,1.82644,1.52576,0.03584,0.35193,0.02018,0.00916,1.95649,inf,1.7979,0.0018812,0.0018812,0.0018812
8,259.235,1.58179,1.75278,1.47382,0.51254,0.2618,0.26966,0.15091,1.83921,2.22386,1.70186,0.0018614,0.0018614,0.0018614
9,289.602,1.59953,1.70079,1.45954,0.35399,0.30258,0.24985,0.13276,1.80069,2.64901,1.61123,0.0018416,0.0018416,0.0018416
10,320.503,1.58511,1.69198,1.48279,0.30023,0.2618,0.18003,0.09285,1.75734,4.12311,1.60939,0.0018218,0.0018218,0.0018218
11,351.127,1.58103,1.68042,1.45395,0.42831,0.24893,0.24554,0.12965,1.73224,4.08159,1.57476,0.001802,0.001802,0.001802
12,381.354,1.54697,1.64207,1.45216,0.50863,0.3412,0.3174,0.17427,1.75036,1.95089,1.58642,0.0017822,0.0017822,0.0017822
13,410.338,1.55711,1.62247,1.43892,0.51585,0.36266,0.38608,0.20581,1.63137,2.4568,1.46636,0.0017624,0.0017624,0.0017624
14,440.47,1.5327,1.56225,1.46597,0.62231,0.36418,0.38382,0.20007,1.73882,1.94384,1.55265,0.0017426,0.0017426,0.0017426
15,471.644,1.52884,1.55812,1.42962,0.56095,0.37339,0.39359,0.20144,1.72572,2.04252,1.48492,0.0017228,0.0017228,0.0017228
16,499.868,1.52048,1.55806,1.43195,0.54869,0.36695,0.36946,0.17795,1.94278,1.6689,1.56919,0.001703,0.001703,0.001703
17,531.593,1.48285,1.47624,1.39706,0.57847,0.41416,0.4323,0.24329,1.60697,1.85375,1.41712,0.0016832,0.0016832,0.0016832
18,559.648,1.5153,1.49465,1.4137,0.56452,0.40773,0.39612,0.24013,1.58515,1.57975,1.43608,0.0016634,0.0016634,0.0016634
19,589.234,1.4837,1.50332,1.3878,0.54749,0.36481,0.39733,0.23898,1.6015,1.57142,1.41156,0.0016436,0.0016436,0.0016436
20,619.514,1.46578,1.45168,1.39576,0.56852,0.40433,0.40451,0.23536,1.57685,1.56087,1.43496,0.0016238,0.0016238,0.0016238
21,649.932,1.45499,1.41386,1.39366,0.58778,0.38412,0.41681,0.22959,1.62163,2.05549,1.4094,0.001604,0.001604,0.001604
22,679.511,1.45844,1.42215,1.36528,0.54951,0.38841,0.39408,0.20051,1.65169,3.19864,1.45279,0.0015842,0.0015842,0.0015842
23,707.771,1.45597,1.42998,1.38411,0.59643,0.40343,0.43047,0.26062,1.53609,1.51401,1.40758,0.0015644,0.0015644,0.0015644
24,737.719,1.47163,1.43945,1.38982,0.61676,0.43133,0.4742,0.26398,1.62674,1.38967,1.4119,0.0015446,0.0015446,0.0015446
25,766.55,1.44485,1.41562,1.36785,0.59465,0.4061,0.43091,0.25132,1.6268,1.45315,1.40853,0.0015248,0.0015248,0.0015248
26,797.728,1.44359,1.36774,1.36278,0.68259,0.40149,0.43998,0.24821,1.60029,1.45703,1.38809,0.001505,0.001505,0.001505
27,827.663,1.44036,1.39132,1.38578,0.60619,0.40129,0.42772,0.2504,1.54249,1.59407,1.36062,0.0014852,0.0014852,0.0014852
28,857.015,1.42985,1.35168,1.36377,0.6199,0.44797,0.45385,0.24571,1.61198,1.72155,1.42058,0.0014654,0.0014654,0.0014654
29,888.028,1.47149,1.39518,1.38759,0.59384,0.3927,0.41446,0.23754,1.59147,2.06586,1.41383,0.0014456,0.0014456,0.0014456
30,917.761,1.38125,1.30803,1.35041,0.64702,0.38197,0.42988,0.26,1.51354,1.65458,1.3704,0.0014258,0.0014258,0.0014258
31,947.824,1.4391,1.36377,1.3684,0.61963,0.4055,0.44935,0.26463,1.55004,1.38688,1.38898,0.001406,0.001406,0.001406
32,976.191,1.41089,1.32549,1.35151,0.62984,0.40773,0.44049,0.25892,1.55174,1.66478,1.36681,0.0013862,0.0013862,0.0013862
33,1006.69,1.43599,1.32422,1.37377,0.75742,0.41416,0.49392,0.2606,1.71836,1.36713,1.43769,0.0013664,0.0013664,0.0013664
34,1036,1.40598,1.29151,1.35388,0.66348,0.4206,0.4652,0.27193,1.51156,1.50976,1.34194,0.0013466,0.0013466,0.0013466
35,1065.77,1.42567,1.33705,1.35696,0.58291,0.43787,0.45318,0.2542,1.62576,1.49114,1.39915,0.0013268,0.0013268,0.0013268
36,1096.63,1.40473,1.34134,1.3642,0.54205,0.3937,0.41775,0.24873,1.53635,1.6472,1.39346,0.001307,0.001307,0.001307
37,1126.74,1.39914,1.31152,1.35259,0.64717,0.40987,0.45293,0.25523,1.64743,1.55338,1.43792,0.0012872,0.0012872,0.0012872
38,1157.4,1.37827,1.25795,1.34375,0.74425,0.42489,0.50596,0.28636,1.57207,1.31969,1.38123,0.0012674,0.0012674,0.0012674
39,1188.81,1.38437,1.27995,1.35499,0.73584,0.4304,0.49863,0.29121,1.57373,1.2656,1.37498,0.0012476,0.0012476,0.0012476
40,1216.61,1.37831,1.25701,1.32711,0.67061,0.43991,0.46665,0.28226,1.53176,1.41802,1.39072,0.0012278,0.0012278,0.0012278
41,1247.78,1.37999,1.24248,1.32601,0.54222,0.45494,0.45783,0.2672,1.5333,1.5767,1.35505,0.001208,0.001208,0.001208
42,1275.37,1.3797,1.25785,1.33355,0.71502,0.40921,0.50001,0.28288,1.60636,1.33967,1.38944,0.0011882,0.0011882,0.0011882
43,1307.15,1.36959,1.20972,1.32099,0.66074,0.43133,0.48743,0.28378,1.50698,1.32184,1.35771,0.0011684,0.0011684,0.0011684
44,1337.76,1.37353,1.24255,1.32571,0.69332,0.45604,0.51234,0.28365,1.57178,1.49312,1.39151,0.0011486,0.0011486,0.0011486
